NUMERO FACTURA CLIENTE;CONCEPTO;CLIENTE;PROVINCIA;SECTOR;IMPORTE CLIENTE;FECHA FACTURA CLIENTE;PAGADA CLIENTE;PROVEEDOR;ZONA;TIPO;IMPORTE PROVEEDOR
176;DESARROLLO;CLIENTE-0006;BARCELONA;BANCA; 300,00 € ;31/01/2019;SI;PROV-005;ZONA 2;INTERNO; 90,00 € 
177;DESARROLLO;CLIENTE-0007;BARCELONA;BANCA; 200,00 € ;08/09/2020;SI;PROV-003;ZONA 2;INTERNO; 60,00 € 
178;PROYECTO;CLIENTE-0008;ALICANTE;METAL; 150,00 € ;01/12/2020;SI;PROV-001;ZONA 1;EXTERNO; 45,00 € 
179;EQUIPOS;CLIENTE-0009;ALICANTE;CONSTRUCCION; 120,00 € ;13/08/2020;SI;PROV-002;ZONA 1;EXTERNO; 36,00 € 
180;PROGRAMA;CLIENTE-0010;MADRID;BANCA; 300,00 € ;16/05/2019;NO;PROV-001;ZONA 1;EXTERNO; 90,00 € 
181;FORMACION;CLIENTE-0004;MADRID;CONSTRUCCION; 350,00 € ;03/03/2020;NO;PROV-004;ZONA 1;EXTERNO; 105,00 € 
182;CONSULTORIA;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;02/01/2021;NO;PROV-004;ZONA 1;EXTERNO; 90,00 € 
183;DESARROLLO;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;04/11/2020;NO;PROV-004;ZONA 1;EXTERNO; 36,00 € 
184;PROYECTO;CLIENTE-0006;BARCELONA;BANCA; 150,00 € ;27/07/2019;NO;PROV-004;ZONA 1;EXTERNO; 45,00 € 
185;EQUIPOS;CLIENTE-0007;BARCELONA;BANCA; 8.500,00 € ;11/06/2020;NO;PROV-004;ZONA 1;EXTERNO; 2.550,00 € 
186;PROGRAMA;CLIENTE-0008;ALICANTE;METAL; 1.200,00 € ;04/06/2021;NO;PROV-005;ZONA 2;INTERNO; 360,00 € 
187;FORMACION;CLIENTE-0009;ALICANTE;CONSTRUCCION; 300,00 € ;30/06/2021;SI;PROV-003;ZONA 2;INTERNO; 90,00 € 
188;CONSULTORIA;CLIENTE-0010;MADRID;BANCA; 200,00 € ;06/04/2019;SI;PROV-005;ZONA 2;INTERNO; 60,00 € 
189;DESARROLLO;CLIENTE-0001;MADRID;METAL; 150,00 € ;17/04/2021;SI;PROV-005;ZONA 2;INTERNO; 45,00 € 
190;PROYECTO;CLIENTE-0010;MADRID;BANCA; 120,00 € ;07/09/2019;SI;PROV-003;ZONA 2;INTERNO; 36,00 € 
191;EQUIPOS;CLIENTE-0001;MADRID;METAL; 300,00 € ;02/12/2021;SI;PROV-005;ZONA 2;INTERNO; 90,00 € 
192;CONSULTORIA;CLIENTE-0002;ALICANTE;CONSTRUCCION; 350,00 € ;28/01/2020;SI;PROV-003;ZONA 2;INTERNO; 105,00 € 
193;DESARROLLO;CLIENTE-0003;MADRID;CONSTRUCCION; 300,00 € ;23/08/2019;SI;PROV-005;ZONA 2;INTERNO; 90,00 € 
194;PROYECTO;CLIENTE-0004;MADRID;CONSTRUCCION; 120,00 € ;09/10/2021;SI;PROV-005;ZONA 2;INTERNO; 36,00 € 
195;EQUIPOS;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;30/08/2021;SI;PROV-003;ZONA 2;INTERNO; 45,00 € 
196;PROGRAMA;CLIENTE-0006;BARCELONA;BANCA; 1.200,00 € ;08/02/2020;SI;PROV-001;ZONA 1;EXTERNO; 360,00 € 
197;FORMACION;CLIENTE-0007;BARCELONA;BANCA; 800,00 € ;12/05/2020;SI;PROV-002;ZONA 1;EXTERNO; 240,00 € 
198;CONSULTORIA;CLIENTE-0008;ALICANTE;METAL; 750,00 € ;21/04/2019;SI;PROV-001;ZONA 1;EXTERNO; 225,00 € 
199;DESARROLLO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 4.500,00 € ;08/02/2019;SI;PROV-005;ZONA 2;INTERNO; 1.350,00 € 
200;PROYECTO;CLIENTE-0010;MADRID;BANCA; 500,00 € ;28/04/2019;SI;PROV-005;ZONA 2;INTERNO; 150,00 € 
201;EQUIPOS;CLIENTE-0004;MADRID;CONSTRUCCION; 750,00 € ;29/08/2021;SI;PROV-003;ZONA 2;INTERNO; 225,00 € 
202;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 950,00 € ;05/01/2021;SI;PROV-005;ZONA 2;INTERNO; 285,00 € 
203;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 680,00 € ;30/04/2020;SI;PROV-003;ZONA 2;INTERNO; 204,00 € 
204;EQUIPOS;CLIENTE-0006;BARCELONA;BANCA; 950,00 € ;03/10/2019;SI;PROV-005;ZONA 2;INTERNO; 285,00 € 
205;PROGRAMA;CLIENTE-0007;BARCELONA;BANCA; 1.500,00 € ;01/03/2019;SI;PROV-005;ZONA 2;INTERNO; 450,00 € 
206;FORMACION;CLIENTE-0008;ALICANTE;METAL; 5.000,00 € ;13/11/2019;SI;PROV-003;ZONA 2;INTERNO; 1.500,00 € 
207;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUCCION; 6.500,00 € ;28/08/2019;SI;PROV-001;ZONA 1;EXTERNO; 1.950,00 € 
208;DESARROLLO;CLIENTE-0010;MADRID;BANCA; 1.200,00 € ;09/05/2020;SI;PROV-002;ZONA 1;EXTERNO; 360,00 € 
209;PROYECTO;CLIENTE-0001;MADRID;METAL; 800,00 € ;11/05/2020;NO;PROV-001;ZONA 1;EXTERNO; 240,00 € 
210;EQUIPOS;CLIENTE-0010;MADRID;BANCA; 750,00 € ;26/08/2020;NO;PROV-005;ZONA 2;INTERNO; 225,00 € 
211;CONSULTORIA;CLIENTE-0001;MADRID;METAL; 4.500,00 € ;05/04/2019;NO;PROV-003;ZONA 2;INTERNO; 1.350,00 € 
212;DESARROLLO;CLIENTE-0002;ALICANTE;CONSTRUCCION; 500,00 € ;15/05/2019;NO;PROV-005;ZONA 2;INTERNO; 125,00 € 
213;PROYECTO;CLIENTE-0003;MADRID;CONSTRUCCION; 750,00 € ;05/12/2020;NO;PROV-005;ZONA 2;INTERNO; 187,50 € 
214;EQUIPOS;CLIENTE-0004;MADRID;CONSTRUCCION; 950,00 € ;17/10/2020;NO;PROV-003;ZONA 2;INTERNO; 237,50 € 
215;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 680,00 € ;01/01/2021;NO;PROV-005;ZONA 2;INTERNO; 170,00 € 
216;FORMACION;CLIENTE-0006;BARCELONA;BANCA; 950,00 € ;24/06/2020;SI;PROV-003;ZONA 2;INTERNO; 237,50 € 
217;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCA; 1.500,00 € ;16/01/2021;SI;PROV-005;ZONA 2;INTERNO; 375,00 € 
218;DESARROLLO;CLIENTE-0008;ALICANTE;METAL; 5.000,00 € ;14/12/2019;SI;PROV-005;ZONA 2;INTERNO; 1.250,00 € 
219;PROYECTO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 6.500,00 € ;18/06/2021;SI;PROV-003;ZONA 2;INTERNO; 1.625,00 € 
220;EQUIPOS;CLIENTE-0010;MADRID;BANCA; 8.500,00 € ;25/10/2021;SI;PROV-001;ZONA 1;EXTERNO; 2.125,00 € 
221;PROGRAMA;CLIENTE-0004;MADRID;CONSTRUCCION; 1.200,00 € ;10/08/2021;SI;PROV-002;ZONA 1;EXTERNO; 300,00 € 
222;FORMACION;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;18/07/2021;SI;PROV-001;ZONA 1;EXTERNO; 75,00 € 
223;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCA; 200,00 € ;26/10/2021;NO;PROV-004;ZONA 1;EXTERNO; 50,00 € 
224;DESARROLLO;CLIENTE-0007;BARCELONA;BANCA; 150,00 € ;12/02/2020;NO;PROV-004;ZONA 1;EXTERNO; 37,50 € 
225;PROYECTO;CLIENTE-0003;MADRID;CONSTRUCCION; 120,00 € ;14/08/2021;NO;PROV-004;ZONA 1;EXTERNO; 30,00 € 
226;EQUIPOS;CLIENTE-0004;MADRID;CONSTRUCCION; 300,00 € ;08/11/2019;NO;PROV-004;ZONA 1;EXTERNO; 75,00 € 
227;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 350,00 € ;09/09/2019;NO;PROV-004;ZONA 1;EXTERNO; 87,50 € 
228;FORMACION;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;25/03/2019;NO;PROV-005;ZONA 2;INTERNO; 75,00 € 
229;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCA; 120,00 € ;02/08/2021;SI;PROV-003;ZONA 2;INTERNO; 30,00 € 
230;DESARROLLO;CLIENTE-0007;BARCELONA;BANCA; 150,00 € ;11/07/2020;SI;PROV-005;ZONA 2;INTERNO; 37,50 € 
231;PROYECTO;CLIENTE-0008;ALICANTE;METAL; 1.200,00 € ;08/05/2020;SI;PROV-005;ZONA 2;INTERNO; 300,00 € 
232;EQUIPOS;CLIENTE-0009;ALICANTE;CONSTRUCCION; 800,00 € ;09/08/2020;SI;PROV-003;ZONA 2;INTERNO; 200,00 € 
233;PROGRAMA;CLIENTE-0010;MADRID;BANCA; 750,00 € ;27/11/2021;SI;PROV-005;ZONA 2;INTERNO; 187,50 € 
234;FORMACION;CLIENTE-0001;MADRID;METAL; 4.500,00 € ;14/04/2020;SI;PROV-003;ZONA 2;INTERNO; 1.125,00 € 
235;CONSULTORIA;CLIENTE-0010;MADRID;BANCA; 500,00 € ;16/08/2021;SI;PROV-005;ZONA 2;INTERNO; 125,00 € 
236;DESARROLLO;CLIENTE-0001;MADRID;METAL; 750,00 € ;04/08/2020;SI;PROV-005;ZONA 2;INTERNO; 187,50 € 
237;PROYECTO;CLIENTE-0002;ALICANTE;CONSTRUCCION; 950,00 € ;02/01/2019;SI;PROV-003;ZONA 2;INTERNO; 237,50 € 
238;EQUIPOS;CLIENTE-0003;MADRID;CONSTRUCCION; 680,00 € ;17/04/2019;SI;PROV-001;ZONA 1;EXTERNO; 170,00 € 
239;PROGRAMA;CLIENTE-0004;MADRID;CONSTRUCCION; 950,00 € ;21/02/2019;SI;PROV-002;ZONA 1;EXTERNO; 237,50 € 
240;FORMACION;CLIENTE-0005;BARCELONA;METAL; 1.500,00 € ;01/04/2020;SI;PROV-001;ZONA 1;EXTERNO; 375,00 € 
241;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCA; 5.000,00 € ;24/05/2021;SI;PROV-005;ZONA 2;INTERNO; 1.250,00 € 
242;DESARROLLO;CLIENTE-0007;BARCELONA;BANCA; 6.500,00 € ;31/10/2020;SI;PROV-003;ZONA 2;INTERNO; 1.625,00 € 
243;PROYECTO;CLIENTE-0008;ALICANTE;METAL; 8.500,00 € ;04/06/2021;SI;PROV-005;ZONA 2;INTERNO; 2.125,00 € 
244;EQUIPOS;CLIENTE-0009;ALICANTE;CONSTRUCCION; 1.200,00 € ;12/10/2021;SI;PROV-005;ZONA 2;INTERNO; 300,00 € 
245;CONSULTORIA;CLIENTE-0010;MADRID;BANCA; 300,00 € ;14/11/2021;SI;PROV-003;ZONA 2;INTERNO; 75,00 € 
246;DESARROLLO;CLIENTE-0004;MADRID;CONSTRUCCION; 200,00 € ;19/04/2020;SI;PROV-005;ZONA 2;INTERNO; 50,00 € 
247;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;09/11/2019;SI;PROV-003;ZONA 2;INTERNO; 60,00 € 
248;EQUIPOS;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;17/11/2020;SI;PROV-005;ZONA 2;INTERNO; 48,00 € 
249;PROGRAMA;CLIENTE-0006;BARCELONA;BANCA; 300,00 € ;23/07/2019;SI;PROV-005;ZONA 2;INTERNO; 120,00 € 
250;FORMACION;CLIENTE-0007;BARCELONA;BANCA; 350,00 € ;22/01/2020;NO;PROV-003;ZONA 2;INTERNO; 157,50 € 
251;CONSULTORIA;CLIENTE-0008;ALICANTE;METAL; 300,00 € ;14/06/2019;NO;PROV-001;ZONA 1;EXTERNO; 135,00 € 
252;DESARROLLO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 120,00 € ;08/11/2020;NO;PROV-002;ZONA 1;EXTERNO; 54,00 € 
253;PROYECTO;CLIENTE-0010;MADRID;BANCA; 150,00 € ;04/03/2019;NO;PROV-001;ZONA 1;EXTERNO; 67,50 € 
254;EQUIPOS;CLIENTE-0001;MADRID;METAL; 8.500,00 € ;27/04/2019;NO;PROV-004;ZONA 1;EXTERNO; 3.825,00 € 
255;PROGRAMA;CLIENTE-0010;MADRID;BANCA; 1.200,00 € ;04/10/2021;NO;PROV-004;ZONA 1;EXTERNO; 540,00 € 
256;FORMACION;CLIENTE-0001;MADRID;METAL; 300,00 € ;23/01/2020;NO;PROV-004;ZONA 1;EXTERNO; 135,00 € 
257;CONSULTORIA;CLIENTE-0002;ALICANTE;CONSTRUCCION; 200,00 € ;19/10/2021;SI;PROV-004;ZONA 1;EXTERNO; 90,00 € 
258;DESARROLLO;CLIENTE-0003;MADRID;CONSTRUCCION; 150,00 € ;06/03/2021;SI;PROV-004;ZONA 1;EXTERNO; 67,50 € 
259;PROYECTO;CLIENTE-0004;MADRID;CONSTRUCCION; 120,00 € ;15/12/2020;SI;PROV-005;ZONA 2;INTERNO; 54,00 € 
260;EQUIPOS;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;26/03/2021;SI;PROV-003;ZONA 2;INTERNO; 135,00 € 
261;PROGRAMA;CLIENTE-0006;BARCELONA;BANCA; 350,00 € ;03/08/2021;SI;PROV-005;ZONA 2;INTERNO; 157,50 € 
262;FORMACION;CLIENTE-0007;BARCELONA;BANCA; 300,00 € ;10/03/2019;SI;PROV-005;ZONA 2;INTERNO; 135,00 € 
263;CONSULTORIA;CLIENTE-0008;ALICANTE;METAL; 120,00 € ;25/02/2020;SI;PROV-003;ZONA 2;INTERNO; 54,00 € 
264;DESARROLLO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 150,00 € ;01/05/2021;SI;PROV-005;ZONA 2;INTERNO; 67,50 € 
265;DESARROLLO;CLIENTE-0010;MADRID;BANCA; 1.200,00 € ;14/10/2021;SI;PROV-003;ZONA 2;INTERNO; 540,00 € 
266;PROYECTO;CLIENTE-0004;MADRID;CONSTRUCCION; 800,00 € ;23/05/2019;SI;PROV-005;ZONA 2;INTERNO; 360,00 € 
267;EQUIPOS;CLIENTE-0010;MADRID;BANCA; 750,00 € ;15/04/2019;SI;PROV-005;ZONA 2;INTERNO; 337,50 € 
268;PROGRAMA;CLIENTE-0001;MADRID;METAL; 4.500,00 € ;06/11/2021;SI;PROV-003;ZONA 2;INTERNO; 2.025,00 € 
269;FORMACION;CLIENTE-0010;MADRID;BANCA; 500,00 € ;09/04/2020;SI;PROV-001;ZONA 1;EXTERNO; 225,00 € 
270;CONSULTORIA;CLIENTE-0001;MADRID;METAL; 750,00 € ;20/08/2021;SI;PROV-002;ZONA 1;EXTERNO; 337,50 € 
271;DESARROLLO;CLIENTE-0002;ALICANTE;CONSTRUCCION; 950,00 € ;19/11/2021;SI;PROV-001;ZONA 1;EXTERNO; 427,50 € 
272;PROYECTO;CLIENTE-0003;MADRID;CONSTRUCCION; 680,00 € ;24/07/2020;SI;PROV-005;ZONA 2;INTERNO; 306,00 € 
273;EQUIPOS;CLIENTE-0004;MADRID;CONSTRUCCION; 950,00 € ;20/09/2019;SI;PROV-003;ZONA 2;INTERNO; 427,50 € 
274;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 1.500,00 € ;15/12/2021;SI;PROV-005;ZONA 2;INTERNO; 675,00 € 
275;FORMACION;CLIENTE-0006;BARCELONA;BANCA; 5.000,00 € ;23/04/2019;SI;PROV-005;ZONA 2;INTERNO; 2.250,00 € 
276;CONSULTORIA;CLIENTE-0007;BARCELONA;BANCA; 6.500,00 € ;29/09/2021;SI;PROV-003;ZONA 2;INTERNO; 2.925,00 € 
277;DESARROLLO;CLIENTE-0008;ALICANTE;METAL; 4.500,00 € ;25/12/2019;NO;PROV-005;ZONA 2;INTERNO; 1.350,00 € 
278;PROYECTO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 500,00 € ;12/12/2019;NO;PROV-003;ZONA 2;INTERNO; 150,00 € 
279;EQUIPOS;CLIENTE-0010;MADRID;BANCA; 750,00 € ;01/08/2021;NO;PROV-005;ZONA 2;INTERNO; 225,00 € 
280;CONSULTORIA;CLIENTE-0004;MADRID;CONSTRUCCION; 950,00 € ;01/05/2021;NO;PROV-005;ZONA 2;INTERNO; 285,00 € 
281;DESARROLLO;CLIENTE-0005;BARCELONA;METAL; 680,00 € ;31/03/2020;NO;PROV-003;ZONA 2;INTERNO; 204,00 € 
282;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 950,00 € ;04/10/2020;NO;PROV-001;ZONA 1;EXTERNO; 285,00 € 
283;EQUIPOS;CLIENTE-0006;BARCELONA;BANCA; 1.500,00 € ;27/08/2019;NO;PROV-002;ZONA 1;EXTERNO; 450,00 € 
284;PROGRAMA;CLIENTE-0007;BARCELONA;BANCA; 5.000,00 € ;27/04/2020;SI;PROV-001;ZONA 1;EXTERNO; 1.500,00 € 
285;FORMACION;CLIENTE-0008;ALICANTE;METAL; 6.500,00 € ;08/02/2021;SI;PROV-004;ZONA 1;EXTERNO; 1.950,00 € 
286;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUCCION; 8.500,00 € ;12/12/2020;SI;PROV-004;ZONA 1;EXTERNO; 2.550,00 € 
287;DESARROLLO;CLIENTE-0010;MADRID;BANCA; 1.200,00 € ;21/08/2021;SI;PROV-004;ZONA 1;EXTERNO; 360,00 € 
288;PROYECTO;CLIENTE-0001;MADRID;METAL; 300,00 € ;04/01/2021;SI;PROV-004;ZONA 1;EXTERNO; 90,00 € 
289;EQUIPOS;CLIENTE-0010;MADRID;BANCA; 200,00 € ;05/08/2019;SI;PROV-004;ZONA 1;EXTERNO; 60,00 € 
290;PROGRAMA;CLIENTE-0001;MADRID;METAL; 150,00 € ;22/10/2020;SI;PROV-005;ZONA 2;INTERNO; 45,00 € 
291;PROYECTO;CLIENTE-0002;ALICANTE;CONSTRUCCION; 120,00 € ;04/07/2019;SI;PROV-003;ZONA 2;INTERNO; 36,00 € 
292;EQUIPOS;CLIENTE-0003;MADRID;CONSTRUCCION; 300,00 € ;08/09/2019;SI;PROV-005;ZONA 2;INTERNO; 90,00 € 
293;PROGRAMA;CLIENTE-0004;MADRID;CONSTRUCCION; 350,00 € ;04/02/2019;SI;PROV-005;ZONA 2;INTERNO; 105,00 € 
294;FORMACION;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;29/10/2020;SI;PROV-003;ZONA 2;INTERNO; 90,00 € 
295;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCA; 120,00 € ;31/10/2020;SI;PROV-005;ZONA 2;INTERNO; 36,00 € 
296;DESARROLLO;CLIENTE-0007;BARCELONA;BANCA; 150,00 € ;05/11/2019;SI;PROV-003;ZONA 2;INTERNO; 45,00 € 
297;PROYECTO;CLIENTE-0008;ALICANTE;METAL; 8.500,00 € ;05/03/2019;SI;PROV-005;ZONA 2;INTERNO; 2.550,00 € 
298;EQUIPOS;CLIENTE-0009;ALICANTE;CONSTRUCCION; 1.200,00 € ;18/10/2020;SI;PROV-005;ZONA 2;INTERNO; 360,00 € 
299;CONSULTORIA;CLIENTE-0010;MADRID;BANCA; 300,00 € ;27/05/2021;SI;PROV-003;ZONA 2;INTERNO; 90,00 € 
300;DESARROLLO;CLIENTE-0004;MADRID;CONSTRUCCION; 200,00 € ;03/02/2020;SI;PROV-001;ZONA 1;EXTERNO; 60,00 € 
301;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 150,00 € ;16/05/2020;SI;PROV-002;ZONA 1;EXTERNO; 45,00 € 
302;EQUIPOS;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;13/08/2019;SI;PROV-001;ZONA 1;EXTERNO; 36,00 € 
303;PROGRAMA;CLIENTE-0006;BARCELONA;BANCA; 300,00 € ;11/02/2019;SI;PROV-005;ZONA 2;INTERNO; 90,00 € 
304;FORMACION;CLIENTE-0007;BARCELONA;BANCA; 350,00 € ;05/02/2020;SI;PROV-003;ZONA 2;INTERNO; 105,00 € 
305;CONSULTORIA;CLIENTE-0008;ALICANTE;METAL; 300,00 € ;06/08/2019;NO;PROV-005;ZONA 2;INTERNO; 90,00 € 
306;DESARROLLO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 120,00 € ;23/06/2019;NO;PROV-005;ZONA 2;INTERNO; 36,00 € 
307;PROYECTO;CLIENTE-0010;MADRID;BANCA; 150,00 € ;20/05/2019;NO;PROV-003;ZONA 2;INTERNO; 45,00 € 
308;EQUIPOS;CLIENTE-0001;MADRID;METAL; 1.200,00 € ;31/10/2019;NO;PROV-005;ZONA 2;INTERNO; 360,00 € 
309;PROGRAMA;CLIENTE-0010;MADRID;BANCA; 800,00 € ;26/01/2019;NO;PROV-003;ZONA 2;INTERNO; 240,00 € 
310;FORMACION;CLIENTE-0001;MADRID;METAL; 750,00 € ;05/09/2020;NO;PROV-005;ZONA 2;INTERNO; 225,00 € 
311;CONSULTORIA;CLIENTE-0002;ALICANTE;CONSTRUCCION; 4.500,00 € ;17/08/2020;NO;PROV-005;ZONA 2;INTERNO; 1.350,00 € 
312;DESARROLLO;CLIENTE-0003;MADRID;CONSTRUCCION; 500,00 € ;26/12/2021;SI;PROV-003;ZONA 2;INTERNO; 150,00 € 
313;PROYECTO;CLIENTE-0004;MADRID;CONSTRUCCION; 750,00 € ;13/09/2019;SI;PROV-001;ZONA 1;EXTERNO; 225,00 € 
314;EQUIPOS;CLIENTE-0005;BARCELONA;METAL; 950,00 € ;23/10/2019;SI;PROV-002;ZONA 1;EXTERNO; 285,00 € 
315;PROGRAMA;CLIENTE-0006;BARCELONA;BANCA; 680,00 € ;11/03/2021;SI;PROV-001;ZONA 1;EXTERNO; 204,00 € 
316;FORMACION;CLIENTE-0007;BARCELONA;BANCA; 950,00 € ;04/04/2019;SI;PROV-004;ZONA 1;EXTERNO; 285,00 € 
317;CONSULTORIA;CLIENTE-0008;ALICANTE;METAL; 1.500,00 € ;12/10/2020;SI;PROV-004;ZONA 1;EXTERNO; 450,00 € 
318;DESARROLLO;CLIENTE-0009;ALICANTE;CONSTRUCCION; 5.000,00 € ;04/05/2020;SI;PROV-004;ZONA 1;EXTERNO; 1.500,00 € 
319;PROYECTO;CLIENTE-0010;MADRID;BANCA; 6.500,00 € ;19/09/2019;NO;PROV-005;ZONA 2;INTERNO; 1.950,00 € 
320;EQUIPOS;CLIENTE-0004;MADRID;CONSTRUCCION; 1.200,00 € ;11/06/2021;NO;PROV-003;ZONA 2;INTERNO; 360,00 € 
321;PROGRAMA;CLIENTE-0005;BARCELONA;METAL; 800,00 € ;01/09/2021;NO;PROV-005;ZONA 2;INTERNO; 240,00 € 
322;FORMACION;CLIENTE-0005;BARCELONA;METAL; 750,00 € ;21/01/2021;NO;PROV-005;ZONA 2;INTERNO; 187,50 € 
323;CONSULTORIA;CLIENTE-0006;BARCELONA;BANCA; 4.500,00 € ;08/05/2019;NO;PROV-003;ZONA 2;INTERNO; 1.125,00 € 
324;DESARROLLO;CLIENTE-0007;BARCELONA;BANCA; 500,00 € ;16/08/2021;NO;PROV-005;ZONA 2;INTERNO; 125,00 € 
325;PROYECTO;CLIENTE-0008;ALICANTE;METAL; 750,00 € ;12/10/2020;SI;PROV-003;ZONA 2;INTERNO; 187,50 € 
326;EQUIPOS;CLIENTE-0009;ALICANTE;CONSTRUCCION; 950,00 € ;26/05/2019;SI;PROV-005;ZONA 2;INTERNO; 237,50 € 
327;PROGRAMA;CLIENTE-0010;MADRID;BANCA; 680,00 € ;16/04/2021;SI;PROV-005;ZONA 2;INTERNO; 170,00 € 
328;FORMACION;CLIENTE-0001;MADRID;METAL; 950,00 € ;03/08/2021;SI;PROV-003;ZONA 2;INTERNO; 237,50 € 
329;CONSULTORIA;CLIENTE-0010;MADRID;BANCA; 1.500,00 € ;28/11/2019;SI;PROV-001;ZONA 1;EXTERNO; 375,00 € 
330;DESARROLLO;CLIENTE-0001;MADRID;METAL; 5.000,00 € ;20/09/2021;SI;PROV-002;ZONA 1;EXTERNO; 1.250,00 € 
331;PROYECTO;CLIENTE-0002;ALICANTE;CONSTRUCCION; 6.500,00 € ;29/11/2019;SI;PROV-001;ZONA 1;EXTERNO; 1.625,00 € 
332;EQUIPOS;CLIENTE-0003;MADRID;CONSTRUCCION; 8.500,00 € ;10/11/2019;SI;PROV-004;ZONA 1;EXTERNO; 2.125,00 € 
333;CONSULTORIA;CLIENTE-0004;MADRID;CONSTRUCCION; 1.200,00 € ;18/02/2020;SI;PROV-004;ZONA 1;EXTERNO; 300,00 € 
334;DESARROLLO;CLIENTE-0005;BARCELONA;METAL; 300,00 € ;24/04/2021;SI;PROV-004;ZONA 1;EXTERNO; 75,00 € 
335;PROYECTO;CLIENTE-0006;BARCELONA;BANCA; 200,00 € ;25/12/2020;SI;PROV-004;ZONA 1;EXTERNO; 50,00 € 
336;EQUIPOS;CLIENTE-0007;BARCELONA;BANCA; 150,00 € ;24/07/2021;SI;PROV-004;ZONA 1;EXTERNO; 37,50 € 
337;PROGRAMA;CLIENTE-0008;ALICANTE;METAL; 120,00 € ;01/05/2019;SI;PROV-005;ZONA 2;INTERNO; 30,00 € 
338;FORMACION;CLIENTE-0009;ALICANTE;CONSTRUCCION; 300,00 € ;06/01/2020;SI;PROV-003;ZONA 2;INTERNO; 75,00 € 
339;CONSULTORIA;CLIENTE-0010;MADRID;BANCA; 350,00 € ;26/09/2019;SI;PROV-005;ZONA 2;INTERNO; 87,50 € 
340;DESARROLLO;CLIENTE-0004;MADRID;CONSTRUCCION; 300,00 € ;20/11/2020;SI;PROV-005;ZONA 2;INTERNO; 75,00 € 
341;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 120,00 € ;06/01/2020;SI;PROV-003;ZONA 2;INTERNO; 30,00 € 
342;EQUIPOS;CLIENTE-0006;BARCELONA;BANCA; 150,00 € ;09/11/2019;SI;PROV-005;ZONA 2;INTERNO; 37,50 € 
343;PROGRAMA;CLIENTE-0007;BARCELONA;BANCA; 1.200,00 € ;20/02/2020;SI;PROV-003;ZONA 2;INTERNO; 300,00 € 
344;FORMACION;CLIENTE-0003;MADRID;CONSTRUCCION; 800,00 € ;20/01/2019;SI;PROV-005;ZONA 2;INTERNO; 200,00 € 
345;CONSULTORIA;CLIENTE-0004;MADRID;CONSTRUCCION; 750,00 € ;20/08/2019;SI;PROV-005;ZONA 2;INTERNO; 187,50 € 
346;DESARROLLO;CLIENTE-0005;BARCELONA;METAL; 4.500,00 € ;25/11/2021;NO;PROV-003;ZONA 2;INTERNO; 1.125,00 € 
347;PROYECTO;CLIENTE-0005;BARCELONA;METAL; 500,00 € ;03/05/2021;NO;PROV-001;ZONA 1;EXTERNO; 125,00 € 
348;EQUIPOS;CLIENTE-0006;BARCELONA;BANCA; 750,00 € ;26/12/2021;NO;PROV-002;ZONA 1;EXTERNO; 187,50 € 
349;PROGRAMA;CLIENTE-0007;BARCELONA;BANCA; 950,00 € ;09/11/2019;NO;PROV-001;ZONA 1;EXTERNO; 237,50 € 
350;FORMACION;CLIENTE-0008;ALICANTE;METAL; 680,00 € ;02/01/2021;NO;PROV-005;ZONA 2;INTERNO; 170,00 € 
351;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUCCION; 950,00 € ;22/03/2021;NO;PROV-005;ZONA 2;INTERNO; 237,50 € 
352;DESARROLLO;CLIENTE-0010;MADRID;BANCA; 1.500,00 € ;27/02/2019;NO;PROV-003;ZONA 2;INTERNO; 375,00 € 
